,title,company,sal_min_yearly,sal_max_yearly,city_name,state_name
343,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
346,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
349,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
352,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
355,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
358,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
361,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
364,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
367,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
370,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
373,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
376,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
379,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
382,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
385,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
388,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
391,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
394,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
397,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
400,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
403,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
406,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
409,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
412,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
415,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
418,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
421,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
424,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
427,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
430,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
433,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
436,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
439,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
442,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
445,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
448,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
451,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
454,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
457,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
460,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
463,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
466,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
469,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
472,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
475,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
478,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
481,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
484,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
487,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
490,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
493,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
496,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
499,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
502,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
505,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
508,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
511,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
514,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
